stratum,tm,pop_average,pop_average_u5,prop_idp,y,m,admin0,admin1,dep_rate
Adan Yabaal,13,74750,18688,NA,2013,1,NA,NA,NA
Adan Yabaal,14,74877,18719,NA,2013,2,NA,NA,NA
Adan Yabaal,15,75003,18751,NA,2013,3,NA,NA,NA
Adan Yabaal,16,75130,18782,NA,2013,4,NA,NA,NA
Adan Yabaal,17,75258,18814,NA,2013,5,NA,NA,NA
Adan Yabaal,18,75385,18846,NA,2013,6,NA,NA,NA
Adan Yabaal,19,75513,18878,NA,2013,7,NA,NA,NA
Adan Yabaal,20,75640,18910,NA,2013,8,NA,NA,NA
Adan Yabaal,21,75768,18942,NA,2013,9,NA,NA,NA
Adan Yabaal,22,75896,18974,NA,2013,10,NA,NA,NA
Adan Yabaal,23,76025,19006,NA,2013,11,NA,NA,NA
Adan Yabaal,24,76153,19038,NA,2013,12,NA,NA,NA
Adan Yabaal,25,76282,19070,NA,2014,1,NA,NA,NA
Adan Yabaal,26,76411,19103,NA,2014,2,NA,NA,NA
Adan Yabaal,27,76540,19135,NA,2014,3,NA,NA,NA
Adan Yabaal,28,76670,19168,NA,2014,4,NA,NA,NA
Adan Yabaal,29,76800,19200,NA,2014,5,NA,NA,NA
Adan Yabaal,30,76930,19232,NA,2014,6,NA,NA,NA
Adan Yabaal,31,77060,19265,NA,2014,7,NA,NA,NA
Adan Yabaal,32,77190,19298,NA,2014,8,NA,NA,NA
Adan Yabaal,33,77320,19330,NA,2014,9,NA,NA,NA
Adan Yabaal,34,77452,19363,NA,2014,10,NA,NA,NA
Adan Yabaal,35,77582,19396,NA,2014,11,NA,NA,NA
Adan Yabaal,36,77714,19428,NA,2014,12,NA,NA,NA
Adan Yabaal,37,77845,19461,NA,2015,1,NA,NA,NA
Adan Yabaal,38,77977,19494,NA,2015,2,NA,NA,NA
Adan Yabaal,39,78109,19527,NA,2015,3,NA,NA,NA
Adan Yabaal,40,78241,19560,NA,2015,4,NA,NA,NA
Adan Yabaal,41,78373,19593,NA,2015,5,NA,NA,NA
Adan Yabaal,42,78506,19626,NA,2015,6,NA,NA,NA
Adan Yabaal,43,78639,19660,NA,2015,7,NA,NA,NA
Adan Yabaal,44,78772,19693,NA,2015,8,NA,NA,NA
Adan Yabaal,45,78905,19726,NA,2015,9,NA,NA,NA
Adan Yabaal,46,79039,19760,NA,2015,10,NA,NA,NA
Adan Yabaal,47,79172,19793,NA,2015,11,NA,NA,NA
Adan Yabaal,48,79306,19826,NA,2015,12,NA,NA,NA
Adan Yabaal,49,79440,19860,0,2016,1,South-Central,Middle Shabelle,0
Adan Yabaal,50,79575,19894,0,2016,2,South-Central,Middle Shabelle,4
Adan Yabaal,51,79705,19926,0,2016,3,South-Central,Middle Shabelle,0
Adan Yabaal,52,79840,19960,0,2016,4,South-Central,Middle Shabelle,5
Adan Yabaal,53,79970,19992,0,2016,5,South-Central,Middle Shabelle,10200
Adan Yabaal,54,80105,20026,0.148139411,2016,6,South-Central,Middle Shabelle,382
Adan Yabaal,55,79859,19965,0.147147997,2016,7,South-Central,Middle Shabelle,343
Adan Yabaal,56,79651,19913,0.146259318,2016,8,South-Central,Middle Shabelle,412
Adan Yabaal,57,79786,19946,0.151223633,2016,9,South-Central,Middle Shabelle,0
Adan Yabaal,58,79921,19980,0.151223633,2016,10,South-Central,Middle Shabelle,205
Adan Yabaal,59,79851,19963,0.150677809,2016,11,South-Central,Middle Shabelle,149
Adan Yabaal,60,79837,19959,0.15028176,2016,12,South-Central,Middle Shabelle,0
Adan Yabaal,61,79972,19993,0.15028176,2017,1,South-Central,Middle Shabelle,0
Adan Yabaal,62,80107,20027,0.15028176,2017,2,South-Central,Middle Shabelle,599
Adan Yabaal,63,79644,19911,0.148697663,2017,3,South-Central,Middle Shabelle,47
Adan Yabaal,64,79732,19933,0.148573581,2017,4,South-Central,Middle Shabelle,39
Adan Yabaal,65,79827,19957,0.148470793,2017,5,South-Central,Middle Shabelle,0
Adan Yabaal,66,79963,19991,0.148470793,2017,6,South-Central,Middle Shabelle,0
Adan Yabaal,67,80098,20024,0.148470793,2017,7,South-Central,Middle Shabelle,0
